===== PowerBlade =====
^ #     ^ Device Type  ^ Device Hostname              ^ IP Address                             ^ Device ID                 ^ Location              ^ Description                       ^ Notes                                 ^
| @#FFCB05:PowerBlade  ||||||||
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:02         | 3005 Whisperwood      | Living Room         | Lamps (2)           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:09         | 3005 Whisperwood      | Living Room         | Amplifier           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:12         | 3005 Whisperwood      | Kitchen             | Fridge              |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:20         | 3005 Whisperwood      | Bedroom             | Humidifier          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:2d         | 3005 Whisperwood      | Other Bathroom      | Curling Iron        |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:2e         | 4901                  | Projector           |                     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:2f         | 1010 Catherine #404   | TV                  |                     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:30         | 3005 Whisperwood      | Living Room         | Xbox One            |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:33         | 3005 Whisperwood      | Kitchen             | Microwave           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:34         | 3005 Whisperwood      | Living Room         | Cable Box           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:35         | 3005 Whisperwood      |                     | MacBook Charger     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:36         | 3005 Whisperwood      | Outside             | Smoker              |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:37         | 3005 Whisperwood      | Bedroom             | Small Lamp          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:38         | 3005 Whisperwood      | Living Room         | Apple TV            |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:39         | 3005 Whisperwood      | Bedroom             | Android Charger     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3A         | 3005 Whisperwood      | Kitchen             | Coffee Maker        |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3B         | 3005 Whisperwood      | Living Room         | Television          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3C         | 3005 Whisperwood      | Guest Room          | Printer             |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3D         | 3005 Whisperwood      | Living Room         | AT&T Modem/Router   |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3E         | 3005 Whisperwood      | Bedroom             | iPhone charger      |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:3f         | EECS 4436             | Amateur Radio Shack | Yaesu                           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:40         | EECS 4436             | Amateur Radio Shack | RC2800 M2 (Motor for Antennas)  |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:41         | EECS 4436             | Amateur Radio Shack | SteppIR                         |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:42         | EECS 4436             | Amateur Radio Shack | Kenwood                         |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:43         | EECS 4436             | Amateur Radio Shack | IC-910                          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:44         | EECS 4436             | Amateur Radio Shack | IC-746                          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:45         | 4901                  | Power strip under all of the tables |     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:46         | 3005 Whisperwood      | Guest Room          | Aero Garden         |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:47         | 3005 Whisperwood      | Guest Room          | Floor Lamp          |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:48         | 3005 Whisperwood      | Guest Room          | Bedside Lamp        |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:49         | 3005 Whisperwood      | Deployment          | NUC                 |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4A         | 3005 Whisperwood      | Deployment          | USB Hub             |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4B         | 3005 Whisperwood      | Deployment          | Energy Bridge       |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4C         | 3005 Whisperwood      | Guest Room          | Paper Shredder      |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4D         | 3005 Whisperwood      | Guest Room          | Clock               |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4E         | 3005 Whisperwood      | Deployment          | BBB 237             |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:4F         | 3005 Whisperwood      | Guest Room          | Monitor             |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:50         | 3005 Whisperwood      | Guest Room          | Computer            |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:51         | 3005 Whisperwood      | Guest Room          | Speakers            |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:52         | 3005 Whisperwood      | Guest Room          | Cell Phone Charger  |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:53         | 3005 Whisperwood      | Deployment          | Eth Switch #2       |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:54         | 3005 Whisperwood      | Deployment          | BBB Phone           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:55         | 3005 Whisperwood      | Guest Room          | MacBook Charger     |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:57         | 3005 Whisperwood      | Living Room         | Sparse Surge Strip  |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:58         | 3005 Whisperwood      | Living Room         | Full Surge Strip    |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:59         | 3005 Whisperwood      | Guest Room          | Desk Lamp           |
| ~~#~~ | PowerBlade   |                              |                                        | c0:98:e5:70:00:5A         | 3005 Whisperwood      | Deployment          | BBB 235             |
